date,equity
2021-02-15,25633790.25
2021-02-22,26516111.86
2021-03-01,27525512.2
2021-03-08,26938514.58
2021-03-15,26497773.57
2021-03-22,27516729.1
2021-03-29,28337074.0
2021-04-05,27545728.34
2021-04-12,27427399.63
2021-04-19,28110726.34
2021-04-26,29570734.87
2021-05-03,28834013.42
2021-05-10,30142929.52
2021-05-17,30473596.89
2021-05-24,31734166.42
2021-05-31,32655309.48
2021-06-07,31820829.05
2021-06-14,32180128.77
2021-06-21,33287613.59
2021-06-28,33490558.37
2021-07-05,34224721.65
2021-07-12,34366518.08
2021-07-19,34674103.19
2021-07-26,34451892.79
2021-08-02,34069633.29
2021-08-09,33467578.71
2021-08-16,33901918.69
2021-08-23,35070706.99
2021-08-30,35371178.5
2021-09-06,35899827.99
2021-09-13,36196358.06
2021-09-20,35915906.61
2021-09-27,37108327.81
2021-10-04,38372888.55
2021-10-11,36861132.85
2021-10-18,35650819.45
2021-10-25,36651481.9
2021-11-01,37413793.49
2021-11-08,37415945.1
2021-11-15,36633557.75
2021-11-22,36912052.31
2021-11-29,37620393.13
2021-12-06,36511744.32
2021-12-13,36207870.55
2021-12-20,37310955.53
2021-12-27,38575035.56
2022-01-03,39629742.18
2022-01-10,38956656.21
2022-01-17,37749999.82
2022-01-24,38819972.94
2022-01-31,37497744.47
2022-02-07,36290236.02
2022-02-14,35150300.63
2022-02-21,35297077.07
2022-02-28,35457352.17
2022-03-07,35770298.87
2022-03-14,36480174.65
2022-03-21,37337865.51
2022-03-28,38997180.39
2022-04-04,39344420.16
2022-04-11,39709316.64
2022-04-18,39205273.42
2022-04-25,37651422.67
2022-05-02,35475590.1
2022-05-09,36199115.03
2022-05-16,35084202.46
2022-05-23,35360645.26
2022-05-30,35358650.38
2022-06-06,34459302.27
2022-06-13,34417518.51
2022-06-20,34823222.65
2022-06-27,35343290.86
2022-07-04,35603960.88
2022-07-11,36470089.0
2022-07-18,36687572.57
2022-07-25,37407536.32
2022-08-01,38204446.62
2022-08-08,38389454.51
2022-08-15,39134685.73
2022-08-22,39944677.16
2022-08-29,40645202.69
2022-09-05,40808368.11
2022-09-12,40774472.42
2022-09-19,40045303.78
2022-09-26,40819470.78
2022-10-03,39800623.41
2022-10-10,40646717.24
2022-10-17,41223357.28
2022-10-24,41834317.98
2022-10-31,41951099.74
2022-11-07,42043083.22
2022-11-14,42829123.38
2022-11-21,44028430.23
2022-11-28,43945431.56
2022-12-05,44150081.28
2022-12-12,39964742.43
2022-12-19,40672900.05
2022-12-26,40838002.92
2023-01-02,40813889.72
2023-01-09,40803895.64
2023-01-16,38817202.77
2023-01-23,39133581.02
2023-01-30,39214251.99
2023-02-06,39084630.12
2023-02-13,38744283.5
2023-02-20,39046706.04
2023-02-27,39870643.21
2023-03-06,39004661.24
2023-03-13,38561174.49
2023-03-20,39165798.88
2023-03-27,39649375.37
2023-04-03,39678819.26
2023-04-10,39982039.73
2023-04-17,40629500.09
2023-04-24,41629291.84
2023-05-01,41843614.51
2023-05-08,42179992.01
2023-05-15,42487424.92
2023-05-22,43264989.77
2023-05-29,43754586.35
2023-06-05,45029887.62
2023-06-12,44412252.4
2023-06-19,45907602.3
2023-06-26,47206939.38
2023-07-03,48958717.27
2023-07-10,50410117.65
2023-07-17,51181048.81
2023-07-24,51905563.12
2023-07-31,53525029.54
2023-08-07,54336450.52
2023-08-14,56617142.8
2023-08-21,58430424.66
2023-08-28,60156664.28
2023-09-04,59069563.58
2023-09-11,57167725.95
2023-09-18,58028231.83
2023-09-25,58079482.42
2023-10-02,58494304.87
2023-10-09,58201708.52
2023-10-16,56207961.34
2023-10-23,57444063.32
2023-10-30,59163136.24
2023-11-06,61724028.57
2023-11-13,61408210.28
2023-11-20,62911102.84
2023-11-27,63845778.77
2023-12-04,65583021.3
2023-12-11,65503098.57
2023-12-18,66529862.71
2023-12-25,69262343.1
2024-01-01,70962303.84
2024-01-08,73361298.62
2024-01-15,75654735.58
2024-01-22,79527018.11
2024-01-29,79484979.55
2024-02-05,80906247.75
2024-02-12,81979963.02
2024-02-19,83368782.53
2024-02-26,83245844.55
2024-03-04,77603498.74
2024-03-11,77720135.38
2024-03-18,78506141.68
2024-03-25,79979105.17
2024-04-01,80563955.64
2024-04-08,80856681.11
2024-04-15,83565697.34
2024-04-22,84340005.93
2024-04-29,81103113.44
2024-05-06,86238696.95
2024-05-13,86669475.82
2024-05-20,85955534.85
2024-05-27,88551092.31
2024-06-03,92103350.35
2024-06-10,92295902.74
2024-06-17,93133334.45
2024-06-24,96926886.36
2024-07-01,95829049.69
2024-07-08,92536842.53
2024-07-15,93883525.01
2024-07-22,93268309.95
2024-07-29,93050511.6
2024-08-05,93999951.27
2024-08-12,96201093.26
2024-08-19,97675952.99
2024-08-26,97144140.94
2024-09-02,99027875.35
2024-09-09,98635848.98
2024-09-16,98390453.34
2024-09-23,95787475.12
2024-09-30,97065021.49
2024-10-07,96091612.94
2024-10-14,89501318.61
2024-10-21,91310667.31
2024-10-28,91640338.91
2024-11-04,88847502.97
2024-11-11,90176942.23
2024-11-18,92739250.06
2024-11-25,94964173.68
2024-12-02,95126990.07
2024-12-09,94183687.3
2024-12-16,94840374.89
2024-12-23,96581831.57
2024-12-30,89379245.26
2025-01-06,86618297.64
2025-01-13,85079887.89
2025-01-20,84250509.49
2025-01-27,84295658.58
2025-02-03,82718394.39
2025-02-10,82670506.36
2025-02-17,82116643.19
2025-02-24,82385461.73
2025-03-03,82050730.45
2025-03-10,82817592.99
2025-03-17,82738518.93
2025-03-24,81821856.64
2025-03-31,81197518.02
2025-04-07,82307101.91
2025-04-14,82003667.91
2025-04-21,81893394.32
2025-04-28,81958819.57
2025-05-05,83691612.3
2025-05-12,84197709.27
2025-05-19,85735657.83
2025-05-26,87425270.08
2025-06-02,87429514.18
2025-06-09,87426550.53
2025-06-16,91197216.47
2025-06-23,91101977.75
2025-06-30,90509460.16
2025-07-07,90809009.36
2025-07-14,90238494.15
2025-07-21,90282112.01
2025-07-28,89313729.04
2025-08-04,89888804.85
2025-08-11,91780773.93
2025-08-18,90202508.34
2025-08-25,91183614.39
2025-09-01,91212707.22
2025-09-08,91917032.8
2025-09-15,89640219.2
2025-09-22,90523672.86
2025-09-29,90286451.17
2025-10-06,90553802.19
2025-10-13,90270080.7
2025-10-20,91615639.46
2025-10-27,91382058.17
2025-11-03,91788084.58
2025-11-10,88875947.58
2025-11-17,89784579.32
2025-11-24,89385916.31
2025-12-01,89510977.37
2025-12-08,90548338.14
2025-12-15,92199848.36
2025-12-22,94507134.0
2025-12-29,91668047.51
2026-01-05,93002062.5
2026-01-12,90402189.23
2026-01-19,89433691.62
2026-01-26,91096648.52
2026-02-02,91084459.42
2026-02-09,91791367.54
2026-02-16,93345479.07
2026-02-23,91420511.64
2026-03-02,87378341.69
2026-03-09,86936981.5
2026-03-16,86807958.09
2026-03-23,86439958.67
2026-03-30,86735046.65
2026-04-06,89348909.36
2026-04-13,89811830.51
2026-04-20,91728609.53
2026-04-27,93914605.87
2026-05-04,91492832.51
2026-05-11,92005444.18
2026-05-18,93346844.41
2026-05-25,92941002.78
2026-06-01,91921348.83
2026-06-08,95298326.74
2026-06-15,94952621.7
2026-06-22,96511259.79
2026-06-29,97241830.04
2026-07-06,96861873.72
2026-07-13,94126529.25
2026-07-20,94473447.43
2026-07-27,96440871.12
2026-08-03,96659223.35
2026-08-10,97521368.26
2026-08-17,97813001.95
2026-08-24,97575871.73
2026-08-31,96062048.51
2026-09-07,96067354.96
